"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
3865,"McCormick ","MKC","18/6/2020","Buy","-1.9%","2.4%","11.6%","3%","-1.8%","-2.8%","5%","38%"
3866,"Glu Mobile ","GLUU","26/8/2019","Sell","2.8%","-1.8%","16.6%","87%","-0.9%","1.3%","4%","24%"
3867,"Walt Disney ","DIS","22/2/2021","Buy","1.8%","-1.6%","-5.2%","-26%","0.7%","-0.2%","1%","10%"
3868,"Deere & Company ","DE","1/6/2017","Buy","-0.8%","0.8%","0.5%","23%","0.3%","-0.3%","0%","15%"
3869,"Kratos Defense & Security ","KTOS","22/9/2020","Buy","-2.8%","4.2%","16.7%","25%","-2.5%","3.8%","7%","39%"
3870,"Whole Foods Markets ","WFM","11/4/2017","Sell","0.7%","2.3%","6.3%",,"-0.3%","-0.3%","2%","16%"
3871,"Raytheon ","RTN","9/8/2017","Buy","-1.9%","-0.2%","2.9%","12%","-1.0%","-0.3%","2%","18%"
3872,"Dexcom ","DXCM","1/11/2019","Buy","-0.2%","29.7%","41.2%","97%","-0.2%","0.3%","1%","10%"
3873,"Stem ","STEM","23/6/2021","Buy","-2.7%","5.6%","-22.8%","-76%","0.0%","1.3%","4%","-7%"
3874,"Qorvo ","QRVO","2/6/2016","Negative Mention","-0.6%","0.7%","-3.4%","44%","0.0%","-0.1%","0%","18%"
3875,"Home Depot ","HD","16/12/2020","Buy","0.7%","-1.1%","-0.3%","45%","0.1%","-0.4%","2%","26%"
3876,"Lam Research ","LRCX","20/11/2017","Buy","0.8%","-2.6%","-15.0%","-33%","0.3%","1.1%","3%","4%"
3877,"Nevsun Resources ","NSU","29/11/2016","Positive Mention","1.3%","2.5%","-2.8%","-27%","-0.6%","1.9%","2%","23%"
3878,"Alder BioPharmaceuticals ","ALDR","18/9/2017","Buy","-2.4%","7.7%","11.1%","54%","0.0%","-0.4%","2%","18%"
3879,"United Continental ","UAL","20/10/2016","Positive Mention","-1.1%","-0.9%","24.1%","6%","0.0%","-0.7%","3%","22%"
3880,"Mastercard ","MA","10/9/2019","Buy","-1.8%","1.9%","2.3%","24%","0.6%","0.3%","-1%","13%"
3881,"NXP Semiconductors ","NXPI","30/9/2016","Buy","-0.2%","0.1%","-2.7%","10%","0.0%","0.2%","-1%","19%"
3882,"Adobe Systems ","ADBE","18/10/2018","Buy","-3.0%","0.3%","-10.3%","9%","-0.3%","-4.0%","-3%","11%"
3883,"Apple ","AAPL","28/11/2018","Positive Mention","-1.7%","-2.7%","-12.1%","51%","0.1%","-1.5%","-8%","17%"
3884,"Apple ","AAPL","27/9/2019","Negative Mention","1.4%","1.4%","11.2%","107%","0.3%","-1.2%","2%","15%"
3885,"Arista Networks ","ANET","26/2/2021","Buy","1.9%","-7.0%","6.9%","70%","1.0%","-2.0%","2%","14%"
3886,"Caterpillar ","CAT","27/1/2020","Negative Mention","-0.2%","-2.4%","-9.9%","36%","0.6%","0.7%","-9%","17%"
3887,"Costco ","COST","21/5/2021","Buy","-0.2%","-1.4%","0.9%","13%","0.4%","0.1%","1%","-4%"
3888,"Ncino ","NCNO","10/9/2020","Buy","-8.6%","-2.8%","3.5%","-5%","-0.5%","-0.6%","6%","36%"
3889,"Occidental Petroleum ","OXY","1/9/2016","Buy","-0.1%","-0.8%","-5.1%","-18%","0.0%","-2.3%","-1%","15%"
3890,"Dow ","DOW","2/5/2019","Positive Mention","0.2%","-0.4%","-8.7%","-34%","0.4%","-2.0%","-7%","-2%"
3891,"Caterpillar ","CAT","18/10/2019","Positive Mention","0.2%","5.9%","8.6%","30%","0.2%","1.1%","4%","16%"
3892,"DraftKings ","DKNG","11/4/2022","Positive Mention","-3.6%","2.9%","-30.7%",,"-1.1%","1.5%","-10%","0%"
3893,"Micron Technology ","MU","25/5/2016","Buy","2.0%","9.7%","2.3%","149%","0.0%","0.7%","-4%","18%"
3894,"Emerson Electric ","EMR","1/11/2019","Positive Mention","1.0%","0.8%","0.9%","-4%","-0.2%","0.3%","1%","10%"
3895,"Veeva Systems ","VEEV","28/4/2020","Buy","2.2%","2.3%","16.1%","50%","0.6%","-3.1%","4%","46%"
3896,"Accenture ","ACN","2/7/2020","Buy","-0.1%","1.2%","4.8%","42%","0.2%","0.2%","4%","39%"
3897,"Teva Pharmaceuticals ","TEVA","23/5/2018","Negative Mention","1.3%","-0.6%","9.0%","-50%","0.0%","-0.7%","0%","6%"
3898,"Centene ","CNC","8/9/2020","Negative Mention","-0.6%","4.4%","11.9%","8%","0.7%","-0.3%","2%","34%"
3899,"Alibaba ","BABA","14/1/2019","Negative Mention","0.1%","0.8%","11.6%","49%","1.0%","1.0%","5%","28%"
3900,"Boeing ","BA","4/2/2019","Buy","2.4%","0.6%","3.5%","-18%","0.2%","0.4%","1%","24%"
3901,"Mitek Systems ","MITK","11/5/2016","Buy","0.1%","3.5%","-14.8%","4%","-0.4%","-1.1%","1%","18%"
3902,"Apple ","AAPL","18/10/2018","Buy","0.6%","-1.4%","-15.0%","11%","-0.3%","-4.0%","-3%","11%"
3903,"Bristol-Myers Squibb ","BMY","8/4/2020","Buy","0.2%","1.1%","6.4%","10%","0.2%","0.3%","5%","50%"
3904,"Acacia Communications ","ACIA","19/4/2018","Negative Mention","3.1%","2.6%","20.5%","111%","-0.8%","0.0%","3%","11%"
3905,"Select Medical 0ings ","SEM","20/8/2019","Buy","0.4%","-1.2%","5.4%","22%","0.0%","-1.2%","2%","18%"
3906,"Wingstop ","WING","3/2/2020","Buy","0.6%","3.6%","-15.0%","67%","0.3%","1.9%","-8%","18%"
3907,"Blue Apron ","APRN","22/1/2018","Sell","-0.3%","-4.7%","3.4%","-58%","0.2%","-0.5%","-5%","-5%"
3908,"The Blackstone Group ","BX","5/8/2019","Buy","1.9%","4.0%","9.3%","19%","0.7%","1.7%","3%","18%"
3909,"Gap ","GPS","19/6/2019","Negative Mention","-0.5%","-2.1%","4.8%","-39%","-0.1%","-1.0%","1%","7%"
3910,"Caterpillar ","CAT","15/9/2020","Buy","0.7%","-4.5%","11.7%","38%","-0.8%","-4.4%","3%","34%"
3911,"Brunswick ","BC","30/10/2020","Buy","0.1%","-0.3%","16.4%","54%","0.0%","7.4%","10%","41%"
3912,"McAfee ","MCFE","17/11/2020","Sell","-3.3%","-1.6%","3.4%","83%","-1.3%","1.8%","4%","34%"
3913,"Kinder Morgan ","KMI","27/4/2021","Buy","1.6%","2.0%","6.8%","15%","-0.1%","-0.4%","1%","4%"
3914,"Nordstrom ","JWN","17/2/2017","Negative Mention","-0.5%","4.6%","-6.5%","14%","0.4%","0.3%","1%","17%"
3915,"Plug Power ","PLUG","11/10/2021","Buy","6.7%","12.3%","45.9%","-36%","-0.5%","3.9%","7%","-17%"
3916,"Diamondback Energy ","FANG","25/7/2017","Buy","-0.1%","-0.7%","-8.0%","40%","-0.1%","0.0%","-1%","17%"
3917,"Apple ","AAPL","4/2/2019","Buy","0.8%","-1.5%","-0.5%","87%","0.2%","0.4%","1%","24%"
3918,"3M ","MMM","10/11/2020","Buy","-0.9%","1.3%","3.7%","10%","0.1%","-0.1%","3%","32%"
3919,"Xilinx ","XLNX","15/10/2018","Buy","3.5%","-5.2%","12.7%","22%","1.4%","-2.4%","-3%","9%"
3920,"Nordstrom ","JWN","22/8/2016","Positive Mention","0.5%","-2.0%","-3.9%","-13%","-0.1%","-0.4%","0%","14%"
3921,"Bank of America ","BAC","13/4/2018","Buy","-0.5%","1.3%","4.0%","2%","0.1%","-0.3%","2%","11%"
3922,"Himax Technologies ","HIMX","12/10/2017","Negative Mention","-3.5%","1.4%","9.3%","-35%","-0.1%","0.8%","1%","10%"
3923,"Agenus ","AGEN","23/10/2017","Buy","-13.3%","-1.9%","5.1%","-55%","0.0%","0.2%","1%","5%"
3924,"ZScaler ","ZS","16/7/2020","Buy","1.7%","1.2%","3.5%","85%","0.0%","-0.3%","5%","34%"
3925,"Buckle ","BKE","15/9/2020","Sell","2.0%","-8.2%","5.9%","106%","-0.8%","-4.4%","3%","34%"
3926,"Gilead Sciences ","GILD","1/11/2018","Negative Mention","-2.2%","2.5%","2.0%","-3%","-1.0%","2.2%","3%","15%"
3927,"Wells Fargo ","WFC","13/10/2016","Positive Mention","-1.0%","0.8%","20.0%","24%","-0.5%","0.4%","2%","22%"
3928,"PayPal ","PYPL","7/6/2019","Buy","0.5%","1.3%","1.2%","35%","-0.1%","0.1%","3%","14%"
3929,"Under Armour ","UAA","7/2/2020","Negative Mention","0.0%","-18.2%","-45.4%","2%","1.0%","0.6%","-18%","19%"
3930,"NVIDIA ","NVDA","16/12/2020","Buy","-0.2%","-2.6%","-2.4%","109%","0.1%","-0.4%","2%","26%"
3931,"Enphase Energy ","ENPH","4/10/2019","Buy","0.3%","4.2%","-24.4%","313%","-0.1%","1.0%","5%","18%"
3932,"Yelp ","YELP","25/3/2021","Buy","-0.3%","8.8%","5.0%","-10%","1.3%","2.6%","5%","17%"
3933,"Southwestern Energy ","SWN","28/11/2017","Sell","-0.2%","-9.6%","-13.5%","-24%","-0.1%","0.2%","2%","6%"
3934,"Avaya ","AVYA","18/5/2020","Buy","1.0%","1.3%","-10.2%","91%","-0.8%","2.4%","7%","43%"
3935,"Darden Restaurants ","DRI","19/3/2021","Buy","-3.1%","5.1%","7.4%","-1%","0.7%","0.8%","6%","15%"
3936,"Vertex Pharmaceuticals ","VRTX","8/4/2020","Buy","-2.1%","7.4%","15.7%","-13%","0.2%","0.3%","5%","50%"
3937,"Rockwell Automation ","ROK","28/7/2021","Buy","0.9%","2.9%","6.9%","-15%","0.2%","0.3%","3%","-5%"
3938,"Enterprise Products Partn ","EPD","5/5/2016","Negative Mention","0.6%","0.8%","10.9%","10%","0.8%","-0.5%","3%","19%"
3939,"Palo Alto Networks ","PANW","12/11/2021","Buy","-0.4%","4.2%","3.3%","-6%","-0.3%","0.0%","0%","-14%"
3940,"Allstate ","ALL","2/11/2016","Positive Mention","0.2%","2.0%","3.8%","46%","-0.6%","3.9%","6%","26%"
3941,"Clorox ","CLX","11/10/2018","Negative Mention","0.9%","5.3%","11.9%","5%","-0.3%","0.1%","-1%","9%"
3942,"Honeywell ","HON","24/1/2019","Buy","-0.6%","2.1%","9.3%","25%","0.1%","1.6%","5%","24%"
3943,"Western Digital ","WDC","10/12/2019","Positive Mention","2.8%","12.1%","34.0%","3%","0.1%","1.6%","4%","19%"
3944,"Ally Financial ","ALLY","24/10/2017","Negative Mention","3.3%","3.1%","3.8%","-1%","-0.3%","0.9%","2%","8%"
3945,"Caterpillar ","CAT","18/4/2016","Positive Mention","0.5%","-2.5%","-12.8%","21%","0.1%","-0.5%","-3%","14%"
3946,"NVIDIA ","NVDA","24/1/2018","Buy","-0.7%","1.8%","4.4%","-32%","-0.3%","-0.6%","-2%","-4%"
3947,"Ventas ","VTR","12/3/2018","Buy","-1.0%","-2.7%","-2.4%","34%","-1.1%","-1.7%","-4%","4%"
3948,"Sea Limited ","SE","4/11/2021","Buy","-0.7%","-4.6%","-31.0%","-86%","-0.2%","-0.3%","-2%","-18%"
3949,"Align Technology ","ALGN","12/4/2018","Buy","-1.7%","-5.6%","9.4%","12%","-0.8%","0.6%","3%","11%"
3950,"Hanesbrands ","HBI","7/2/2017","Negative Mention","2.1%","7.0%","1.1%","1%","0.1%","2.5%","4%","15%"
3951,"VMware ","VMW","11/9/2019","Buy","-1.2%","-1.5%","0.2%","-8%","0.0%","-0.1%","-1%","13%"
3952,"Adobe Systems ","ADBE","12/3/2018","Buy","-1.5%","4.5%","3.3%","20%","-1.1%","-1.7%","-4%","4%"
3953,"Procter & Gamble ","PG","15/4/2020","Buy","-0.7%","-1.1%","-3.7%","16%","0.0%","0.0%","6%","52%"
3954,"Constellation Brands ","STZ","4/10/2018","Buy","-0.4%","1.1%","-9.9%","-14%","-0.6%","-4.1%","-5%","4%"
3955,"Wynn Resorts ","WYNN","21/4/2017","Buy","-1.2%","9.0%","8.7%","70%","0.0%","0.6%","1%","15%"
3956,"Chegg ","CHGG","12/6/2020","Buy","3.4%","17.6%","18.7%","31%","3.0%","1.6%","3%","41%"
3957,"Ballard Power Systems ","BLDP","9/1/2020","Sell","4.6%","32.7%","25.9%","219%","-0.5%","1.9%","3%","18%"
3958,"Ulta Beauty ","ULTA","22/9/2021","Buy","0.4%","-5.2%","-2.6%","3%","0.8%","-3.2%","3%","-16%"
3959,"Netflix ","NFLX","31/10/2018","Buy","4.2%","0.2%","-8.5%","-10%","0.7%","2.6%","2%","14%"
3960,"ServiceNow ","NOW","10/2/2020","Buy","-0.7%","4.1%","-23.7%","72%","-0.3%","0.4%","-26%","19%"
3961,"Tiffany & Co ","TIF","17/3/2017","Buy","0.6%","1.3%","-2.5%","6%","-0.1%","-1.3%","-1%","16%"
3962,"Cara Therapeutics ","CARA","17/12/2018","Buy","-2.2%","-4.4%","11.5%","19%","-0.8%","-2.9%","4%","28%"
3963,"Simon Property Group ","SPG","2/3/2022","Buy","-0.5%","-3.7%","-2.3%",,"-1.1%","-2.3%","5%","0%"
3964,"Carmax ","KMX","5/10/2020","Positive Mention","-5.7%","0.0%","0.2%","39%","-1.5%","4.5%","5%","32%"
3965,"NVIDIA ","NVDA","12/3/2019","Buy","2.8%","3.4%","12.7%","29%","0.3%","0.5%","4%","-10%"
3966,"Apple ","AAPL","24/2/2020","Positive Mention","-4.3%","0.4%","-10.3%","75%","-3.5%","-4.0%","-16%","28%"
3967,"Ingersoll-Rand ","IR","19/10/2020","Buy","0.8%","-3.1%","18.7%","44%","0.0%","-1.5%","4%","34%"
3968,"Advanced Micro Devices ","AMD","11/1/2022","Buy","-0.8%","-6.7%","-17.7%",,"-0.1%","-4.1%","-6%","0%"
3969,"Veeva Systems ","VEEV","22/8/2019","Buy","-1.8%","1.4%","-3.4%","64%","-2.1%","2.7%","5%","23%"
3970,"ServiceNow ","NOW","18/10/2021","Buy","1.2%","-0.5%","-0.6%","-48%","0.4%","1.2%","4%","-17%"
3971,"Joby Aviation ","JOBY","1/4/2022","Sell","-5.2%","-16.8%","-13.4%",,"0.8%","-3.7%","-9%","0%"
3972,"Block ","SQ","22/9/2021","Positive Mention","1.2%","-10.1%","-1.8%","-79%","0.8%","-3.2%","3%","-16%"
3973,"GoPro ","GPRO","14/6/2016","Sell","0.2%","13.0%","21.2%","-18%","-0.1%","0.7%","4%","20%"
3974,"Deutsche Bank ","DB","17/7/2018","Negative Mention","0.8%","0.8%","-7.3%","-33%","0.2%","1.0%","1%","8%"
3975,"ConAgra Foods ","CAG","18/12/2017","Buy","-0.4%","0.6%","-2.2%","-22%","-0.5%","0.0%","4%","-5%"
3976,"GlaxoSmithKline ","GSK","6/4/2018","Buy","0.0%","0.4%","-1.1%","9%","-0.1%","2.4%","2%","13%"
3977,"United Continental ","UAL","2/11/2016","Negative Mention","-1.3%","7.2%","22.0%","7%","-0.6%","3.9%","6%","26%"
3978,"Costco ","COST","5/10/2020","Buy","-1.0%","6.2%","7.7%","30%","-1.5%","4.5%","5%","32%"
3979,"Tesla ","TSLA","14/6/2016","Positive Mention","0.3%","-9.7%","1.2%","72%","-0.1%","0.7%","4%","20%"
3980,"Apache ","APA","29/9/2016","Buy","-0.7%","-0.8%","-6.5%","-27%","0.3%","-0.6%","-2%","19%"
3981,"Thor Industries ","THO","8/6/2021","Buy","-0.4%","-8.6%","-4.1%","-33%","-0.4%","0.1%","4%","-4%"
3982,"Clean Harbors ","CLH","27/2/2019","Buy","-1.0%","0.9%","5.9%","2%","-0.1%","-1.3%","3%","8%"
3983,"FedEx ","FDX","18/6/2021","Positive Mention","1.8%","0.5%","0.8%","-20%","1.0%","1.6%","1%","-10%"
3984,"Southwest Airlines ","LUV","8/3/2018","Buy","1.3%","2.0%","-8.1%","-13%","1.1%","-1.3%","-6%","2%"
3985,"Newell Brands ","NWL","8/5/2017","Buy","0.9%","0.4%","0.7%","-48%","-0.2%","0.3%","2%","15%"
3986,"Camping World ","CWH","20/7/2021","Buy","0.5%","-2.5%","-7.4%","-28%","0.5%","1.0%","2%","-7%"
3987,"Qualcomm ","QCOM","30/10/2020","Positive Mention","-0.4%","15.0%","18.7%","11%","0.0%","7.4%","10%","41%"
3988,"Kraft Heinz ","KHC","24/4/2020","Positive Mention","2.3%","-4.2%","0.1%","39%","0.7%","-1.2%","4%","48%"
3989,"Dole Foods ","DOLE","27/1/2022","Buy","2.8%","9.9%","13.6%",,"2.1%","1.5%","-1%","0%"
3990,"Restaurant Brands ","QSR","26/8/2019","Positive Mention","-0.6%","-0.8%","-7.3%","-27%","-0.9%","1.3%","4%","24%"
3991,"Foot Locker ","FL","24/5/2017","Buy","-0.9%","-0.5%","-18.9%","-4%","0.2%","0.7%","1%","15%"
3992,"PPG Industries ","PPG","3/12/2019","Buy","0.0%","2.5%","0.5%","15%","0.2%","1.0%","4%","20%"
3993,"Thor Industries ","THO","21/5/2021","Buy","-2.3%","5.2%","-8.1%","-39%","0.4%","0.1%","1%","-4%"
3994,"The Trade Desk ","TTD","16/1/2020","Buy","-0.9%","-0.3%","9.8%","178%","0.1%","-1.0%","1%","16%"
3995,"Penn National Gaming ","PENN","2/3/2020","Negative Mention","-8.5%","-11.6%","-64.6%","352%","-3.0%","-3.9%","-16%","29%"
3996,"Splunk ","SPLK","18/1/2017","Buy","-1.8%","7.3%","20.7%","67%","-0.4%","1.5%","5%","27%"
3997,"Delta Air Lines ","DAL","15/6/2016","Sell","-0.9%","0.8%","5.5%","39%","0.3%","1.7%","4%","19%"
3998,"Brookfield Renewable Part ","BEP","13/5/2021","Positive Mention","3.4%","11.0%","13.2%","-4%","0.8%","-0.4%","2%","-3%"
3999,"Lennar ","LEN","8/1/2020","Buy","-0.7%","9.5%","21.7%","28%","0.2%","1.3%","2%","19%"
4000,"Pioneer Natural Resources ","PXD","27/4/2021","Buy","3.1%","4.5%","-3.2%","58%","-0.1%","-0.4%","1%","4%"
4001,"Grubhub ","GRUB","15/8/2017","Buy","-0.4%","-0.1%","-2.0%","135%","-0.1%","-1.0%","1%","17%"
4002,"Nike ","NKE","13/11/2020","Buy","0.5%","3.1%","5.0%","31%","0.4%","-1.4%","1%","31%"
4003,"Lockheed Martin ","LMT","11/7/2018","Positive Mention","1.3%","2.0%","0.1%","21%","0.4%","0.2%","1%","10%"
4004,"Qualys ","QLYS","20/4/2018","Positive Mention","-1.2%","-5.4%","-5.9%","2%","-0.3%","-0.8%","3%","11%"
4005,"New York Times ","NYT","6/5/2020","Positive Mention","-0.1%","3.8%","16.0%","29%","0.0%","-0.9%","12%","49%"
4006,"Verizon ","VZ","11/10/2018","Buy","-0.2%","2.2%","9.3%","16%","-0.3%","0.1%","-1%","9%"
4007,"HP ","HPQ","13/4/2018","Buy","-0.5%","-2.2%","3.3%","-5%","0.1%","-0.3%","2%","11%"
4008,"Constellation Brands ","STZ","17/4/2019","Positive Mention","2.8%","6.7%","2.5%","-17%","0.0%","0.7%","-2%","1%"
4009,"General Motors ","GM","21/4/2017","Negative Mention","-0.4%","0.9%","-2.9%","16%","0.0%","0.6%","1%","15%"
4010,"L3Harris Technologies ","LHX","3/11/2020","Buy","1.6%","2.4%","6.9%","23%","0.8%","3.8%","8%","38%"
4011,"International Paper ","IP","15/8/2017","Buy","0.9%","-1.3%","3.4%","-2%","-0.1%","-1.0%","1%","17%"
4012,"Lululemon Athletica ","LULU","9/9/2020","Buy","-2.1%","-5.3%","8.7%","33%","-2.3%","0.6%","6%","35%"
4013,"Carrizo Oil & Gas ","CRZO","19/6/2018","Buy","2.4%","-3.4%","-3.6%","-66%","-0.1%","-2.4%","1%","9%"
4014,"Medtronic ","MDT","20/7/2021","Buy","0.3%","2.7%","2.2%","-27%","0.5%","1.0%","2%","-7%"
4015,"JFrog ","FROG","11/10/2021","Sell","-1.0%","8.2%","13.2%","-33%","-0.5%","3.9%","7%","-17%"
4016,"Boeing ","BA","28/7/2021","Buy","-0.9%","-0.7%","-6.0%","-31%","0.2%","0.3%","3%","-5%"
4017,"Uber ","UBER","10/7/2019","Negative Mention","-0.2%","-0.6%","-15.9%","-25%","0.0%","-0.2%","-4%","8%"
4018,"Veritiv ","VRTV","20/10/2021","Positive Mention","0.1%","-0.4%","34.6%","4%","0.4%","1.0%","3%","-16%"
4019,"Generac 0ings ","GNRC","10/2/2020","Buy","-0.1%","0.8%","-14.4%","152%","-0.3%","0.4%","-26%","19%"
4020,"ON Semiconductor ","ON","5/8/2021","Buy","0.1%","-4.0%","0.8%","49%","0.1%","0.8%","2%","-5%"
4021,"B&G Foods ","BGS","3/6/2020","Buy","-0.1%","-9.8%","4.5%","38%","0.1%","-3.5%","2%","38%"
4022,"Take-Two Interactive ","TTWO","1/2/2019","Buy","0.4%","-12.1%","-17.7%","17%","0.7%","-0.5%","3%","21%"
4023,"ASML 0ings ","ASML","18/1/2018","Buy","0.1%","0.5%","-4.9%","-22%","0.2%","2.2%","-3%","-4%"
4024,"Abbott Laboratories ","ABT","29/11/2018","Buy","0.2%","-5.5%","-2.3%","16%","0.7%","-4.4%","-9%","15%"
4025,"Advanced Micro Devices ","AMD","24/7/2017","Positive Mention","-1.3%","-2.8%","-11.4%","14%","-0.1%","0.0%","-1%","17%"
4026,"Pfizer ","PFE","29/10/2021","Negative Mention","-1.1%","11.7%","21.1%","10%","-0.1%","1.9%","1%","-15%"
4027,"Carvana ","CVNA","10/11/2020","Buy","6.7%","8.2%","24.6%","38%","0.1%","-0.1%","3%","32%"
4028,"Lockheed Martin ","LMT","9/2/2018","Buy","0.4%","3.7%","-3.1%","-11%","0.6%","2.3%","5%","4%"
4029,"BP ","BP","20/4/2016","Sell","-0.9%","5.5%","1.0%","15%","-0.5%","-0.7%","-2%","15%"
4030,"Caterpillar ","CAT","20/4/2018","Positive Mention","-0.4%","-6.3%","3.2%","-5%","-0.3%","-0.8%","3%","11%"
4031,"Academy Sports and Outdoo ","ASO","1/3/2022","Buy","4.4%","1.4%","20.4%",,"1.3%","-2.4%","4%","0%"
4032,"Weyerhaeuser ","WY","30/8/2017","Buy","1.8%","2.6%","5.6%","10%","0.3%","-0.3%","2%","19%"
4033,"Brunswick ","BC","29/10/2021","Buy","4.0%","3.6%","-1.1%","-26%","-0.1%","1.9%","1%","-15%"
4034,"Chevron ","CVX","27/9/2021","Buy","-0.5%","2.4%","9.4%","47%","-1.4%","-0.1%","6%","-13%"
4035,"Darden Restaurants ","DRI","23/6/2017","Buy","0.6%","1.4%","-3.2%","23%","-0.3%","-0.4%","1%","13%"
4036,"Adobe Systems ","ADBE","29/5/2018","Buy","1.2%","2.6%","-1.5%","11%","0.8%","1.8%","0%","4%"
4037,"Skyworks Solutions ","SWKS","23/7/2018","Negative Mention","-2.9%","0.1%","-1.9%","-7%","-0.1%","-0.1%","1%","9%"
4038,"Exxon Mobil ","XOM","18/4/2019","Buy","1.3%","-2.9%","-7.4%","-48%","0.4%","1.1%","-2%","-1%"
4039,"VMware ","VMW","11/12/2018","Buy","-2.0%","-3.6%","7.8%","15%","-0.8%","-5.3%","-2%","22%"
4040,"Stitch Fix ","SFIX","8/3/2018","Sell","-2.9%","-9.6%","-4.5%","20%","1.1%","-1.3%","-6%","2%"
4041,"NVIDIA ","NVDA","16/4/2018","Buy","1.7%","-6.9%","4.3%","-21%","0.3%","-2.7%","1%","9%"
4042,"HP ","HPQ","23/7/2018","Buy","-1.1%","0.4%","7.1%","-3%","-0.1%","-0.1%","1%","9%"
4043,"Beyond Meat ","BYND","10/7/2019","Negative Mention","5.6%","-2.2%","-2.9%","-22%","0.0%","-0.2%","-4%","8%"
4044,"U.S. Auto Parts Network ","PRTS","18/6/2020","Negative Mention","-1.7%","-0.8%","42.6%","113%","-1.8%","-2.8%","5%","38%"
4045,"Schlumberger ","SLB","9/4/2020","Sell","-4.0%","-4.2%","8.8%","71%","-0.5%","4.0%","6%","52%"
4046,"Intuit ","INTU","6/7/2021","Buy","0.1%","0.0%","5.7%","-18%","0.2%","0.4%","2%","-9%"
4047,"Cleveland-Cliffs ","CLF","3/2/2017","Sell","2.6%","31.0%","8.8%","-29%","0.0%","1.7%","4%","18%"
4048,"Amicus Therapeutics ","FOLD","28/9/2018","Negative Mention","5.0%","3.4%","-13.0%","-37%","-0.1%","-1.3%","-10%","4%"
4049,"First Data ","FDC","7/12/2017","Negative Mention","-0.8%","-0.2%","4.4%","7%","0.1%","0.9%","4%","1%"
4050,"AMN Healthcare ","AHS","6/10/2016","Buy","-0.9%","6.0%",,,"-0.5%","-0.9%","0%","0%"
4051,"AbbVie ","ABBV","21/4/2017","Buy","0.4%","2.8%","1.2%","49%","0.0%","0.6%","1%","15%"
4052,"Morgan Stanley ","MS","19/1/2022","Buy","3.3%","1.3%","-4.4%",,"-1.5%","-3.5%","-4%","0%"
4053,"Align Technology ","ALGN","24/6/2021","Buy","-1.3%","1.5%","3.3%","-59%","0.2%","1.7%","3%","-8%"
4054,"Marriott International ","MAR","21/10/2016","Positive Mention","-0.5%","2.0%","15.2%","74%","-0.1%","-1.1%","2%","22%"
4055,"Penn National Gaming ","PENN","3/1/2022","Negative Mention","-2.6%","-3.5%","-8.9%",,"-0.3%","-1.6%","-6%","0%"
4056,"Cintas ","CTAS","31/3/2021","Buy","1.1%","-0.7%","0.7%","23%","0.6%","2.0%","4%","15%"
4057,"Altria ","MO","11/12/2018","Negative Mention","-2.0%","-3.6%","-6.8%","0%","-0.8%","-5.3%","-2%","22%"
4058,"Lowe's ","LOW","11/11/2021","Negative Mention","0.8%","5.6%","8.9%","-12%","0.5%","0.3%","0%","-14%"
4059,"CBRL Group ","CBRL","22/11/2016","Positive Mention","0.7%","-1.8%","2.6%","-6%","0.3%","-0.1%","3%","20%"
4060,"Prospect Capital ","PSEC","23/3/2018","Sell","-0.6%","-0.1%","-2.1%","10%","1.1%","-2.9%","1%","7%"
4061,"Banco Santander ","SAN","5/6/2018","Sell","2.0%","-0.7%","-1.4%","-18%","0.6%","0.2%","0%","5%"
4062,"Origin Materials ","ORGN","1/3/2022","Negative Mention","0.2%","9.7%","20.6%",,"1.3%","-2.4%","4%","0%"
4063,"AbbVie ","ABBV","22/3/2018","Negative Mention","-1.5%","-6.2%","-3.4%","-15%","-2.3%","-0.2%","3%","10%"
4064,"Twitter ","TWTR","11/3/2019","Buy","0.0%","0.4%","11.0%","0%","0.2%","1.5%","4%","0%"
4065,"Lattice Semiconductor ","LSCC","16/12/2019","Buy","0.8%","-3.8%","5.3%","114%","-0.1%","1.0%","4%","18%"
4066,"Atara Biotherapeutics ","ATRA","9/3/2018","Positive Mention","3.4%","-16.0%","-21.8%","-20%","-0.2%","-2.5%","-6%","2%"
4067,"Hannon Armstrong ","HASI","23/5/2016","Positive Mention","2.5%","-1.1%","1.0%","15%","0.8%","0.9%","2%","18%"
4068,"Big Lots ","BIG","15/4/2021","Buy","0.7%","-3.7%","-0.5%","-45%","0.0%","-0.1%","0%","6%"
4069,"The Carlyle Group ","CG","19/3/2018","Buy","0.2%","-4.7%","-7.2%","-9%","0.0%","-3.8%","-1%","6%"
4070,"FedEx ","FDX","15/1/2020","Positive Mention","-0.7%","-2.9%","-0.6%","61%","0.4%","0.2%","2%","16%"
4071,"Uber ","UBER","21/1/2020","Positive Mention","-2.4%","-0.1%","9.9%","51%","-0.3%","-1.4%","1%","18%"
4072,"GoodRX ","GDRX","18/10/2021","Buy","4.9%","-0.4%","-8.1%","-90%","0.4%","1.2%","4%","-17%"
4073,"AstraZeneca ","AZN","5/11/2021","Buy","-1.1%","-5.1%","-12.0%","-1%","-0.2%","-0.3%","-2%","-18%"
